id,Acc,PPV(Precision),NPV,TPR(Recall),TNR,MCC,ROC AUC,STD,PR AUC,F1,FPR
8grm_P,0.9657534246568729,0.0,0.9657534246568729,0.0,0.9999999999992909,0.0,0.6482269763946533,0.03589359175598087,0.0998891070485115,0.0,0.0
7u73_A,0.9255813953486219,0.7708333333317274,0.9450261780102238,0.6379310344816587,0.9704301075266208,0.659925078959404,0.9535595178604126,0.2394004501568814,0.778303861618042,0.698113203048706,0.029569892473110333
8g57_A,0.7889908256873496,0.5999999999976,0.845238095237089,0.5357142857123725,0.8765432098754611,0.4284305568986312,0.8567019104957581,0.2755301380043421,0.5475354194641113,0.5660377144813538,0.12345679012330438
8ott_B,0.914634146340348,0.8666666666608889,0.925373134326977,0.72222222221821,0.9687499999984863,0.7397820634361698,0.9340277910232544,0.2643702453350006,0.8809136152267456,0.7878787517547607,0.03124999999995117
7z2d_B,0.9805825242716066,0.0,0.9805825242716066,0.0,0.9999999999997525,0.0,0.7250928282737732,0.03380191085885616,0.03787130117416382,0.0,0.0
8osj_A,0.8426966292125363,0.6666666666622222,0.8783783783771913,0.5263157894709142,0.928571428570102,0.4979297382661262,0.9270676970481873,0.24930004310332096,0.7384158372879028,0.5882353782653809,0.07142857142846938
7wlr_C,0.9230769230760355,0.7499999999962501,0.9642857142845663,0.8333333333287037,0.9418604651151838,0.7441168295606334,0.9722222089767456,0.2638963490597209,0.894519031047821,0.7894737124443054,0.058139534883653324
8ett_B,0.8888888888876543,0.7499999999953126,0.9285714285697704,0.7499999999953126,0.9285714285697704,0.6785714285713528,0.9665178656578064,0.30145755955236486,0.9141135811805725,0.75,0.07142857142844387
8etv_A,0.8666666666655111,0.9999999999833333,0.8550724637668767,0.3749999999976563,0.999999999998305,0.5662615772882184,0.9645127058029175,0.20060752143839883,0.8871354460716248,0.5454545617103577,0.0
8eqk_F,0.8571428571419152,0.8571428571387756,0.8571428571416326,0.642857142854847,0.9523809523794406,0.6520506636965858,0.9404761791229248,0.31750330351218037,0.8757609128952026,0.7346938252449036,0.04761904761897203
8g8b_A,0.8247422680403869,0.8333333333287037,0.8227848101255407,0.5172413793085613,0.9558823529397708,0.5571580250087558,0.9358519315719604,0.2687572044107476,0.8213096857070923,0.6382977962493896,0.04411764705875865
7xfh_A,0.8453608247413965,0.7826086956487713,0.8648648648636961,0.642857142854847,0.9275362318827137,0.6077126206020196,0.9169254899024963,0.29437625938181367,0.8282034993171692,0.7058823704719543,0.072463768115837
7tfl_E,0.9794117647055943,0.9999999999,0.9793510324480887,0.1249999999984375,0.9999999999996988,0.3498840937453736,0.9606550931930542,0.051152746799354394,0.4126187562942505,0.2222222238779068,0.0
7xhv_A,0.9661016949147084,0.8461538461473372,0.9756097560969662,0.7333333333284444,0.9876543209870448,0.769728141614658,0.980246901512146,0.2125063881634432,0.8967238664627075,0.785714328289032,0.01234567901233806
8e87_A,0.9058823529409633,0.6304347826073251,0.9393139841686177,0.5576923076912352,0.9544235924930418,0.5401642366705945,0.9350897073745728,0.23806090706308367,0.6096785068511963,0.5918367505073547,0.045576407506690196
7xfc_D,0.7391304347818053,0.38888888888780865,0.9642857142839923,0.8749999999945314,0.7105263157885388,0.4547450101179873,0.8651315569877625,0.3237732464947094,0.4933033883571625,0.5283018946647644,0.2894736842101454
7xd1_D,0.8085106382970122,0.5405405405390796,0.9824561403491535,0.9523809523764173,0.767123287670182,0.6134316012682692,0.9106327295303345,0.3281861343131875,0.7113757133483887,0.6896551251411438,0.23287671232844812
8han_C,0.8962264150934941,0.7894736842063713,0.9195402298840005,0.6818181818150827,0.9523809523798186,0.6705639495637289,0.9347943663597107,0.27383549291279985,0.8483530282974243,0.7317072749137878,0.047619047618990926
8efv_D,0.9594594594591354,0.3333333333222222,0.9658703071669059,0.09090909090826446,0.9929824561400025,0.15843186637925688,0.8859649300575256,0.07961979100712549,0.23923896253108978,0.1428571492433548,0.0070175438596466605
7xcr_G,0.8703703703695644,0.7272727272694215,0.9069767441849919,0.666666666663889,0.9285714285703232,0.6144342497752306,0.9523809552192688,0.2859541222610289,0.8578858375549316,0.6956521272659302,0.0714285714284864
8ssu_A,0.8154506437764741,0.827586206893698,0.8137254901956796,0.38709677419292404,0.970760233917561,0.4790593754312558,0.8747406005859375,0.2391599112504573,0.7356404066085815,0.5274724960327148,0.02923976608185425
7u7x_A,0.9209302325579254,0.734693877549521,0.9448818897635316,0.631578947367313,0.9651474530828512,0.6368051518823036,0.9471332430839539,0.24583952618551158,0.701884925365448,0.6792452931404114,0.034852546916880736
8j1q_B,0.8688524590156813,0.0,0.9814814814805727,0.0,0.8833333333325972,-0.046481112585218705,0.668749988079071,0.22265625270579745,0.03778248652815819,0.0,0.11666666666656944
7zwc_O,0.9776536312843701,0.9487179487155161,0.9857142857135818,0.9487179487155161,0.9857142857135818,0.9344322344322173,0.9937728643417358,0.34875256380801567,0.9826917052268982,0.9487179517745972,0.014285714285704083
